omega_tauM,G1,G2,absG_over_G0,Qinv
0.01,0.00010775156829943104,0.00810082008133207,0.009999105142321827,75.18053063339816
0.012589254117941675,0.0001707568494136248,0.010197267042069446,0.01258746878887536,59.71805568612113
0.015848931924611134,0.0002705864737011179,0.012835481781498905,0.015845370176455632,47.435784967125194
0.0199526231496888,0.00042873793860570065,0.01615469236988543,0.01994551793969021,37.679642772977196
0.025118864315095794,0.0006792208888927566,0.02032913483296721,0.025104692000049233,29.93007895576812
0.03162277660168379,0.0010757825860040098,0.025576086570302213,0.031594513127068596,23.774400983106155
0.039810717055349734,0.0017032201534079214,0.03216496608687385,0.03975436822392312,18.88479655581573
0.05011872336272725,0.002694962058398393,0.04042679276032253,0.05000643212735844,15.000876407272331
0.06309573444801933,0.004260071817571647,0.050762196248201406,0.06287212338688529,11.915807625313038
0.07943282347242814,0.0067239266488268975,0.06364397648598066,0.07898804242570946,9.46529904473072
0.1,0.010587534574393589,0.07960610701907979,0.0991168756932378,7.5188521425574
0.12589254117941676,0.016609247913054973,0.09920390717120893,0.12414398083294075,5.97281151383345
0.1584893192461114,0.025905813625084845,0.12291906610005013,0.15504226154055664,4.744844839809487
0.19952623149688797,0.04004986417275471,0.1509703013444958,0.19277612873472696,3.769558385848372
0.25118864315095807,0.061097287022647565,0.18298726282287556,0.23810344523254917,2.995014537307455
0.31622776601683794,0.09140664424952678,0.21754469796407744,0.2912371283350703,2.3799659176876924
0.3981071705534973,0.1330537184962548,0.2516922361507605,0.3513794302827524,1.8916587901137472
0.5011872336272725,0.18673781657615698,0.2808702488604819,0.4162812248004298,1.5040887486543735
0.6309573444801932,0.2505157110741558,0.29977105089202144,0.48217046254204177,1.1966157715484975
0.7943282347242817,0.3193381533503839,0.3042860904714578,0.5444126295528832,0.9528648151778761
1.0,0.3863178854466101,0.29354491297529967,0.5988337949901824,0.7598532815428453
1.2589254117941675,0.4452818080649308,0.27041904697325575,0.6429845456206258,0.6072986636225286
1.584893192461114,0.49281193811659013,0.24003343772536417,0.6765521381562574,0.48706904025644104
1.9952623149688808,0.5285408532571597,0.20758244519242722,0.7008453013804413,0.39274626344054564
2.5118864315095824,0.5541213951858333,0.1769181540639903,0.7179218625915216,0.3192768869800778
3.1622776601683795,0.5719800270570932,0.15025296571861033,0.7299020585655622,0.2626891825081378
3.981071705534973,0.5845031794762131,0.12850650518450113,0.7386368895403947,0.2198559557873728
5.011872336272725,0.5937091380722979,0.1117851196103062,0.7456449932696417,0.1882826327606461
6.309573444801936,0.6012150554128171,0.09974166763555585,0.7521757484555781,0.16590014960132599
7.943282347242821,0.6083120080357051,0.09176307136502755,0.7592870588682836,0.1508486930273477
10.0,0.616023804842405,0.0870220139645398,0.7678596496746538,0.14126404414972618
12.589254117941675,0.625077127252556,0.08446984960264982,0.7784971023952182,0.13513508320793288
15.848931924611142,0.6357706191350828,0.08288180149755323,0.7913225921000073,0.13036431537259077
19.952623149688808,0.6478342878826501,0.08106154566068624,0.8058072026932726,0.12512697641494686
25.11886431509582,0.6604673419260384,0.07818994119683945,0.8208566332859172,0.11838577963419643
31.622776601683793,0.6726670494542935,0.07409814106027024,0.8352432149235127,0.11015574662142727
39.810717055349734,0.6836860644272953,0.06921561891355578,0.8481345256940713,0.10123889093971188
50.118723362727245,0.6932980470234572,0.06421382150415417,0.8593470436699311,0.09262080252474957
63.095734448019364,0.7017330928888206,0.05961804248285346,0.8692153974285995,0.08495828839626789
79.43282347242821,0.7094095587496707,0.055614460283507215,0.8782562263769391,0.07839541996238013
100.0,0.7166631086091045,0.05208981948237522,0.8868556520178609,0.07268382990087327
125.89254117941688,0.7236103733199919,0.04881643015623496,0.895126774556478,0.06746231391385481
158.48931924611142,0.7301902578370377,0.045641802244376625,0.9029766670346453,0.06250672582181022
199.52623149688787,0.7363101469537424,0.04255560030858732,0.9102876641268521,0.05779575425470921
251.18864315095823,0.7419535825052109,0.03962025582441414,0.9170410874462589,0.05339991174466211
316.2277660168379,0.7471733536099149,0.03687360354653403,0.9233010465547824,0.04935080108034078
398.1071705534977,0.7520245935511866,0.03430336171661373,0.9291313744322047,0.04561468070429384
501.18723362727246,0.7565308821621284,0.0318854845373014,0.9345569790545666,0.04214697018867788
630.9573444801943,0.7607041196882492,0.029614676244049516,0.9395899414504463,0.03893061109776317
794.3282347242822,0.7645694192789165,0.02749411758633973,0.9442593132889155,0.03596026324499099
1000.0,0.768160286361749,0.025514252481858596,0.94860413333764,0.033214750794657966
1258.9254117941687,0.7714995121169209,0.023652132921013473,0.9526500265114615,0.030657353050184414
1584.893192461114,0.7745915916298152,0.02188727109700752,0.9564005548846403,0.028256530710531722
1995.262314968883,0.7774317803314708,0.020215921460258076,0.9598487511203597,0.02600346676288264
2511.886431509582,0.7800234999592868,0.018652290285836152,0.9629983671570869,0.023912472235528424
3162.2776601683795,0.782390340255833,0.017214076420004356,0.9658780683728764,0.022001903058229917
3981.0717055349774,0.7845702674297033,0.015903313982508722,0.968533799864933,0.0202700951625517
5011.872336272725,0.7865958038271513,0.014701030125276333,0.9710043903605226,0.018689433701208475
6309.573444801943,0.7884794604989979,0.013581316548955889,0.9733040569210132,0.017224692879584717
7943.282347242822,0.7902184580254392,0.012530041812151746,0.9754286165409488,0.01585642765604492
10000.0,0.7918119267860045,0.011549248808761906,0.9773766620719507,0.014585848505264069
